nom_streamer;plateforme;pays;categorie_contenu;style_stream;moyenne_viewers;pic_viewers;abonnements_mensuels;dons_mensuels_eur;duree_watch_moyenne_min;duree_stream_moyenne_h;frequence_stream_mois;langue;date_creation_compte;date_dernier_stream;revenu_mensuel_eur;partenaire_officiel
RuneCircuitX18;YouTube;États-Unis;FPS;Esport;182;553;79;75.31;97.6;4.09;27;Anglais;2021-07-05;2025-05-07;272.81;Oui
VividBladeFR;TikTok;France;Musique;Humoristique;299;734;219;622.06;112.9;4.17;27;Français;2022-03-20;2025-12-15;1169.56;Oui
GoldenDrakeHQ;Twitch;Belgique;IRL;Esport;96;192;54;124.82;84.2;7.71;10;Néerlandais;2020-08-14;2025-07-23;259.82;Oui
EchoWhisperTV;YouTube;Espagne;MMO;Communautaire;114;289;64;194.43;47.0;4.54;18;Espagnol;2020-08-01;2025-10-28;354.43;Non
RapidWarden_Live43;Twitch;Italie;Sport;Competitif;117;347;25;62.94;97.7;7.55;7;Italien;2016-09-12;2025-07-23;125.44;Non
SableHarborTV69;Twitch;Brésil;MMO;Educatif;543;821;277;509.84;45.2;4.95;8;Portugais;2018-06-20;2025-08-09;1202.34;Oui
SolarWardenYT;Twitch;Royaume-Uni;IRL;Educatif;620;1148;83;211.43;46.8;2.81;20;Anglais;2016-10-07;2025-04-06;418.93;Oui
RetroFoxYT;YouTube;Allemagne;Creation;Chill;1460;2362;517;753.02;46.4;6.55;13;Allemand;2015-09-22;2025-02-10;2045.52;Non
RuneOrbitTV63;TikTok;Suisse;Horreur;Educatif;74;123;37;76.67;41.2;2.39;5;Français;2014-04-05;2025-01-05;169.17;Oui
VegaPixel_Live;Twitch;Suisse;MMO;Chill;376;764;234;272.83;116.0;5.99;6;Allemand;2023-08-31;2025-05-17;857.83;Non
VividHarborYT;TikTok;États-Unis;Sport;Competitif;750;1834;147;217.04;60.3;4.58;16;Anglais;2020-12-08;2025-07-13;584.54;Oui
BlazingSageLive;YouTube;Brésil;Musique;Chill;333;1149;148;167.31;108.6;6.84;5;Portugais;2014-10-03;2025-09-29;537.31;Non
CrimsonKnightLive;TikTok;Allemagne;MMO;Educatif;349;1187;197;209.46;97.6;3.49;19;Allemand;2016-03-19;2025-01-02;701.96;Non
SolarPixel_;YouTube;Allemagne;Tech;Communautaire;68;104;50;144.07;62.4;2.27;28;Allemand;2020-12-22;2025-11-10;269.07;Oui
EchoFableFR41;TikTok;Belgique;Cuisine;Humoristique;97;213;52;51.85;114.5;7.65;20;Français;2016-05-17;2025-12-31;181.85;Oui
AtomicGlyph_Live;TikTok;France;Musique;Educatif;539;1746;247;312.6;108.9;6.71;27;Français;2018-10-04;2025-12-11;930.1;Non
RapidRiftLive;TikTok;Suisse;Tech;Competitif;170;312;44;25.69;70.2;2.69;26;Français;2014-01-02;2025-02-24;135.69;Non
LunarSpecter_TV;YouTube;Espagne;Tech;Esport;161;561;62;48.62;32.6;7.57;15;Espagnol;2022-09-06;2025-12-10;203.62;Oui
FrozenQuasar_Live;Twitch;États-Unis;Tech;Communautaire;854;2417;595;547.37;113.0;5.8;20;Anglais;2013-06-13;2025-11-26;2034.87;Non
DriftVortex_;TikTok;Royaume-Uni;Cuisine;Competitif;524;1181;261;514.69;94.6;6.42;17;Anglais;2017-10-23;2025-03-01;1167.19;Non
SableVortex_TV;TikTok;Belgique;Creation;Humoristique;438;733;240;475.74;38.0;6.44;11;Français;2019-01-11;2025-07-14;1075.74;Oui
VividGuardianLive34;YouTube;États-Unis;Sport;Esport;103;218;59;140.85;83.1;3.14;17;Anglais;2023-08-28;2025-12-06;288.35;Oui
SableShard_TV;Twitch;Espagne;Tech;Educatif;174;298;70;152.83;30.8;7.11;15;Espagnol;2022-03-22;2025-03-17;327.83;Non
HyperGunnerYT66;Twitch;Italie;Sport;Humoristique;320;573;196;757.32;89.9;6.81;27;Italien;2014-10-08;2025-05-21;1247.32;Non
EchoWardenLive;Twitch;États-Unis;Musique;Esport;169;466;20;36.08;49.4;3.75;17;Anglais;2017-01-17;2025-12-25;86.08;Oui
SilentFable;YouTube;Espagne;Musique;Chill;892;2984;315;930.28;99.8;7.14;28;Espagnol;2020-10-18;2025-06-22;1717.78;Non
DriftBeaconYT;Twitch;Royaume-Uni;Just Chatting;Humoristique;92;262;49;43.81;119.1;6.55;17;Anglais;2016-05-17;2025-12-25;166.31;Non
AeroBeacon;TikTok;Espagne;Horreur;Esport;2673;4529;2134;1564.95;59.1;6.75;6;Espagnol;2015-01-31;2025-08-15;6899.95;Non
SolarMatrixLive;Twitch;France;Sport;Esport;220;458;125;139.11;43.0;3.31;28;Français;2014-04-15;2025-12-14;451.61;Oui
ShadowZephyrYT;Twitch;Belgique;Sport;Educatif;383;862;155;0.0;118.4;6.08;10;Néerlandais;2013-03-05;2025-03-02;387.5;Non
DriftForge_TV58;Twitch;France;IRL;Competitif;397;1066;104;104.72;117.3;5.76;17;Français;2022-12-16;2025-06-04;364.72;Oui
RetroHorizon_Live;TikTok;Belgique;Horreur;Esport;1974;5538;293;677.77;63.8;6.15;26;Néerlandais;2018-03-04;2025-11-20;1410.27;Non
GoldenHorizon_34;TikTok;Royaume-Uni;Tech;Chill;296;661;101;231.33;40.8;2.5;20;Anglais;2022-10-03;2025-05-21;483.83;Oui
TurboKnight35;TikTok;Brésil;Just Chatting;Communautaire;586;1809;301;742.92;46.3;4.91;25;Portugais;2014-03-25;2025-06-16;1495.42;Oui
SilverStormYT;TikTok;France;Cuisine;Communautaire;280;819;77;31.94;107.6;5.23;17;Français;2023-11-21;2025-09-08;224.44;Oui
VividQuasar_TV81;Twitch;Suisse;IRL;Competitif;162;411;160;439.15;82.6;6.28;25;Français;2016-01-14;2025-01-03;839.15;Non
RetroKnightFR19;TikTok;Canada;IRL;Communautaire;91;282;12;23.78;41.1;2.77;11;Français;2012-10-13;2025-02-13;53.78;Oui
SilentRunner_;TikTok;France;Tech;Humoristique;736;1849;375;466.89;62.7;5.27;18;Français;2023-08-26;2025-05-31;1404.39;Non
PrimeGuardian61;TikTok;Royaume-Uni;MMO;Competitif;351;624;163;258.5;74.1;3.88;16;Anglais;2014-03-22;2025-12-06;666.0;Oui
NeoCircuit_Live32;Twitch;Italie;MMO;Competitif;35;69;12;7.78;46.9;3.8;11;Italien;2020-01-20;2025-05-23;37.78;Oui
SilentShardYT;YouTube;Canada;Cuisine;Educatif;489;1446;487;909.46;68.0;5.3;13;Anglais;2017-09-13;2025-12-13;2126.96;Non
AeroHorizonX52;TikTok;Espagne;Tech;Esport;285;963;166;329.13;42.9;3.22;25;Espagnol;2023-06-21;2025-11-06;744.13;Oui
DarkOrbitTV;YouTube;France;Creation;Competitif;640;1497;333;1184.33;43.8;7.95;18;Français;2018-01-21;2025-03-05;2016.83;Oui
SilentForge_TV;YouTube;États-Unis;Just Chatting;Competitif;116;332;57;32.7;66.6;3.98;7;Anglais;2018-02-19;2025-01-06;175.2;Oui
IronRunnerTV;Twitch;Canada;MMO;Esport;743;1674;160;173.22;117.2;4.27;8;Anglais;2022-12-24;2025-02-18;573.22;Non
PhantomCaster9;Twitch;France;Musique;Humoristique;291;844;173;418.39;107.9;5.31;24;Français;2016-01-20;2025-06-26;850.89;Non
EchoHorizon_Live93;TikTok;Canada;Musique;Competitif;102;250;41;32.41;41.5;2.06;21;Français;2017-12-30;2025-01-28;134.91;Non
HyperSpecterLive;YouTube;Canada;Horreur;Humoristique;101;294;36;42.89;52.4;5.65;27;Français;2023-04-07;2025-05-27;132.89;Non
CrimsonShard_Live94;YouTube;Belgique;Just Chatting;Educatif;5821;19821;2832;346.59;76.9;6.31;12;Français;2014-01-08;2025-11-21;7426.59;Oui
PrimeBlade_TV;Twitch;Belgique;Just Chatting;Communautaire;216;357;130;466.5;51.6;2.56;23;Français;2012-03-28;2025-08-06;791.5;Oui
HyperRunner_Live;TikTok;Belgique;Cuisine;Chill;70;172;1;3.37;76.4;7.99;22;Néerlandais;2016-04-06;2025-01-04;5.87;Non
SilverCaster_TV;TikTok;Royaume-Uni;Creation;Chill;619;1798;140;284.85;97.5;3.47;28;Anglais;2022-01-23;2025-03-28;634.85;Oui
UrbanShard_TV;Twitch;Brésil;Horreur;Educatif;22;40;8;14.62;63.0;2.8;16;Portugais;2020-05-15;2025-02-27;34.62;Non
DriftCasterYT42;YouTube;Espagne;Horreur;Humoristique;1115;3710;219;347.27;52.5;5.23;8;Espagnol;2016-10-11;2025-01-02;894.77;Non
EchoDrakeX;TikTok;France;Horreur;Communautaire;145;280;65;39.3;57.4;7.6;25;Français;2013-04-16;2025-07-02;201.8;Oui
VegaQuasar_;YouTube;Canada;Cuisine;Humoristique;257;701;51;109.71;59.6;4.12;5;Anglais;2014-04-10;2025-08-09;237.21;Non
IronDrake_TV2;Twitch;Allemagne;FPS;Competitif;1037;1965;366;563.0;77.6;7.39;18;Allemand;2017-08-11;2025-04-26;1478.0;Non
VegaGunnerLive;TikTok;Espagne;IRL;Educatif;81;185;27;39.14;56.9;4.57;10;Espagnol;2021-11-08;2025-03-24;106.64;Oui
ShadowQuasarHQ;Twitch;Belgique;Tech;Humoristique;7207;15909;1280;3794.15;69.1;4.16;27;Néerlandais;2014-12-31;2025-07-22;6994.15;Non
VegaDrakeFR;YouTube;Espagne;IRL;Educatif;1207;3606;550;1792.24;111.1;2.96;11;Espagnol;2023-02-11;2025-12-16;3167.24;Oui
SableHarbor_;TikTok;Brésil;Musique;Chill;607;1304;290;419.6;98.8;7.29;21;Portugais;2012-06-22;2025-03-06;1144.6;Oui
EchoCircuit;TikTok;États-Unis;Cuisine;Communautaire;1549;3389;959;838.48;31.2;6.11;6;Anglais;2012-03-06;2025-08-11;3235.98;Non
DriftBeaconX;TikTok;Canada;MMO;Competitif;94;195;33;23.1;73.7;6.57;12;Anglais;2018-04-22;2025-02-28;105.6;Non
RapidSageFR;YouTube;Belgique;MMO;Communautaire;376;1311;243;253.38;52.3;6.92;11;Français;2016-03-25;2025-10-30;860.88;Oui
PrimeRunner;Twitch;Brésil;FPS;Communautaire;384;752;158;371.05;41.9;2.23;11;Portugais;2014-01-14;2025-01-27;766.05;Non
NovaSpecterHQ;Twitch;États-Unis;Cuisine;Educatif;34;78;9;15.4;57.6;5.8;12;Anglais;2023-06-08;2025-08-07;37.9;Oui
UrbanGlyph_;TikTok;Brésil;Tech;Humoristique;1510;3183;455;0.0;54.2;3.68;16;Portugais;2016-01-28;2025-01-21;1137.5;Oui
PrimeHorizonHQ56;YouTube;Italie;IRL;Educatif;797;1278;217;67.34;97.0;3.27;20;Italien;2017-08-28;2025-09-09;609.84;Non
PhantomGlyph_Live;TikTok;Canada;Sport;Humoristique;203;440;73;65.35;40.0;6.01;26;Anglais;2020-02-08;2025-10-29;247.85;Non
EchoZephyrHQ;Twitch;Canada;Creation;Chill;35;69;20;55.5;54.8;5.51;7;Français;2016-04-09;2025-04-09;105.5;Non
LunarZephyrLive;YouTube;Allemagne;Tech;Communautaire;826;2767;142;184.39;36.7;5.28;15;Allemand;2015-06-12;2025-01-23;539.39;Oui
HyperQuasarYT;YouTube;États-Unis;Horreur;Esport;400;753;207;448.85;79.5;3.52;22;Anglais;2014-08-19;2025-08-12;966.35;Oui
HyperCircuit_TV;Twitch;Italie;Just Chatting;Esport;179;441;74;144.84;77.1;7.71;5;Italien;2018-06-30;2025-01-24;329.84;Oui
SilverCircuitLive;YouTube;Royaume-Uni;MMO;Chill;2001;6180;1082;2476.76;92.4;6.44;17;Anglais;2021-10-26;2025-09-18;5181.76;Non
HyperGuardianHQ;Twitch;France;Musique;Communautaire;442;1160;301;574.84;65.1;5.64;11;Français;2012-03-13;2025-09-20;1327.34;Non
VividFable_TV;YouTube;Espagne;MMO;Chill;156;391;106;232.98;94.9;3.55;12;Espagnol;2017-01-08;2025-01-24;497.98;Oui
FrozenRiftLive11;Twitch;Espagne;FPS;Esport;247;514;75;134.74;87.6;7.65;13;Espagnol;2016-09-16;2025-10-01;322.24;Oui
FrozenBeacon_78;YouTube;Belgique;MMO;Humoristique;671;1008;294;532.52;61.3;5.63;16;Français;2014-12-30;2025-07-29;1267.52;Non
PrimeVortex_97;Twitch;Espagne;Musique;Humoristique;2617;5624;1607;2716.85;35.2;6.9;16;Espagnol;2014-05-21;2025-12-19;6734.35;Non
GoldenWarden_57;TikTok;Suisse;Horreur;Competitif;1136;3852;219;415.65;53.2;5.76;24;Italien;2018-01-10;2025-04-15;963.15;Non
EchoMatrixLive;Twitch;Allemagne;IRL;Educatif;2951;5345;1051;685.64;50.9;6.36;16;Allemand;2022-04-21;2025-04-05;3313.14;Oui
RetroCircuitTV22;YouTube;France;Just Chatting;Competitif;196;368;35;25.03;74.1;6.38;25;Français;2020-11-03;2025-12-18;112.53;Oui
AtomicGunner;YouTube;Belgique;MMO;Competitif;268;439;31;46.98;36.5;3.47;25;Français;2012-04-06;2025-11-05;124.48;Oui
TurboWhisperFR;Twitch;Canada;Tech;Chill;1088;2454;237;715.57;31.9;6.96;25;Anglais;2015-03-14;2025-11-18;1308.07;Oui
FrozenShardX;TikTok;États-Unis;IRL;Competitif;707;2180;428;360.45;30.8;6.75;22;Anglais;2022-10-10;2025-10-16;1430.45;Non
RapidHorizon_46;Twitch;Royaume-Uni;Just Chatting;Esport;1032;3231;187;446.98;57.7;4.87;12;Anglais;2014-10-05;2025-01-11;914.48;Oui
RapidCaster_99;Twitch;France;Tech;Chill;487;830;248;80.45;56.7;5.07;18;Français;2021-07-31;2025-07-17;700.45;Oui
NeoKnightHQ;YouTube;Belgique;Horreur;Competitif;150;330;77;42.48;55.8;7.53;26;Néerlandais;2017-01-13;2025-02-22;234.98;Non
TurboVortex71;Twitch;Italie;Musique;Competitif;671;1486;84;197.25;85.4;2.71;7;Italien;2023-11-24;2025-06-21;407.25;Oui
SableForge_25;TikTok;Espagne;Sport;Chill;103;294;52;110.53;43.5;6.0;14;Espagnol;2023-03-13;2025-12-05;240.53;Non
DarkBlade_;Twitch;Canada;Musique;Humoristique;187;629;96;169.0;103.0;6.27;7;Anglais;2020-10-04;2025-08-17;409.0;Non
IronWhisper_56;YouTube;Canada;IRL;Humoristique;223;697;44;0.0;40.2;4.56;28;Français;2016-01-29;2025-07-17;110.0;Non
CrimsonShardTV45;TikTok;États-Unis;Musique;Esport;592;1266;51;81.36;68.1;6.16;18;Anglais;2020-08-05;2025-08-03;208.86;Non
DarkVortexLive;YouTube;Belgique;Creation;Esport;301;775;161;192.87;74.3;5.22;12;Néerlandais;2023-10-26;2025-10-23;595.37;Oui
CrimsonCasterLive;YouTube;Royaume-Uni;Horreur;Competitif;280;813;152;278.93;51.2;2.02;5;Anglais;2013-05-03;2025-06-28;658.93;Non
ShadowHarborX;YouTube;Canada;MMO;Educatif;571;1825;281;0.0;108.0;6.91;14;Français;2016-09-22;2025-04-25;702.5;Oui
DarkFox_TV9;YouTube;France;Cuisine;Humoristique;927;2775;484;233.93;40.6;6.17;9;Français;2014-05-18;2025-12-06;1443.93;Oui
SolarBladeTV16;YouTube;Canada;IRL;Competitif;308;755;120;163.86;83.5;2.95;9;Français;2012-04-12;2025-10-19;463.86;Non
DarkPulseTV;TikTok;Espagne;Horreur;Educatif;582;1047;399;1030.12;46.4;6.46;28;Espagnol;2019-07-26;2025-08-16;2027.62;Oui
SolarOrbitHQ98;TikTok;Canada;MMO;Competitif;95;196;49;138.62;44.0;7.29;6;Anglais;2020-11-21;2025-08-05;261.12;Non
AtomicPixelTV11;YouTube;Suisse;Cuisine;Competitif;617;1609;381;1338.18;104.7;7.51;21;Français;2014-01-23;2025-09-25;2290.68;Non
SableQuasarFR28;Twitch;Suisse;Cuisine;Competitif;1243;4295;559;1422.7;41.3;3.27;24;Français;2013-09-24;2025-12-21;2820.2;Non
EchoBeacon_Live;Twitch;France;Sport;Esport;473;1161;191;219.38;88.7;4.43;17;Français;2016-05-14;2025-05-19;696.88;Oui
VelvetOrbitTV87;Twitch;Suisse;Just Chatting;Competitif;2252;3848;532;1613.22;62.6;6.67;15;Français;2014-05-22;2025-02-03;2943.22;Oui
AtomicFoxLive;Twitch;France;Tech;Humoristique;699;1883;83;155.01;98.1;3.85;22;Français;2013-01-02;2025-10-16;362.51;Non
VegaPulseTV71;YouTube;Espagne;Cuisine;Communautaire;40;63;21;50.09;58.3;7.66;5;Espagnol;2019-01-20;2025-07-20;102.59;Non
IronSpecter;TikTok;Royaume-Uni;IRL;Communautaire;210;724;89;307.42;93.2;2.58;18;Anglais;2012-07-13;2025-10-28;529.92;Non
VegaSage;Twitch;Allemagne;IRL;Esport;231;566;43;128.21;108.2;2.22;10;Allemand;2017-03-12;2025-04-21;235.71;Oui
UrbanWhisperLive;TikTok;Italie;MMO;Humoristique;3494;10613;1400;3516.05;44.5;7.78;21;Italien;2014-12-10;2025-06-23;7016.05;Non
VividMatrix_TV;TikTok;Brésil;Tech;Competitif;1764;3917;443;449.51;107.0;4.59;27;Portugais;2013-09-06;2025-03-20;1557.01;Non
UrbanCircuitYT;TikTok;Belgique;Horreur;Chill;1562;2647;1151;2374.38;31.3;6.6;14;Néerlandais;2019-01-13;2025-03-28;5251.88;Non
MysticWarden_Live;Twitch;Canada;Horreur;Humoristique;153;278;122;118.22;55.2;4.18;7;Français;2017-09-28;2025-08-15;423.22;Oui
PrimeZephyrYT99;YouTube;Brésil;Cuisine;Communautaire;279;942;130;397.04;117.5;4.93;16;Portugais;2014-11-22;2025-08-14;722.04;Non
NovaZephyr89;TikTok;Brésil;MMO;Educatif;1032;2605;498;977.72;86.2;3.88;7;Portugais;2012-12-15;2025-11-14;2222.72;Oui
SolarQuasar;Twitch;Belgique;Just Chatting;Educatif;423;1261;216;0.0;52.0;6.93;5;Néerlandais;2020-12-14;2025-02-07;540.0;Oui
IronGlyph_TV;YouTube;Royaume-Uni;Horreur;Chill;291;662;130;45.37;71.6;2.56;19;Anglais;2016-01-16;2025-02-25;370.37;Non
SableSpecterX;YouTube;Italie;Horreur;Competitif;617;1873;221;719.46;48.0;3.97;15;Italien;2022-09-06;2025-02-28;1271.96;Non
AtomicRiftTV;TikTok;Suisse;Sport;Communautaire;2276;5483;698;941.72;79.1;7.69;9;Italien;2020-07-12;2025-02-01;2686.72;Non
NovaCaster_Live82;Twitch;Brésil;Just Chatting;Humoristique;371;1142;114;193.23;118.1;3.28;11;Portugais;2015-12-13;2025-02-12;478.23;Oui
CrimsonZephyr71;YouTube;Brésil;MMO;Competitif;175;286;30;63.68;66.5;3.79;27;Portugais;2017-10-26;2025-04-05;138.68;Oui
PhantomGuardianFR;Twitch;Suisse;Sport;Educatif;806;1358;192;459.91;111.1;4.05;14;Allemand;2022-08-31;2025-10-02;939.91;Oui
DriftMatrix_TV;YouTube;France;MMO;Communautaire;201;689;90;208.83;69.3;7.48;23;Français;2013-09-29;2025-12-08;433.83;Oui
DriftHorizonX;TikTok;États-Unis;FPS;Competitif;388;833;190;186.88;118.8;7.63;28;Anglais;2015-04-23;2025-09-13;661.88;Non
AtomicGunnerLive;TikTok;France;Horreur;Competitif;325;561;116;87.4;117.3;4.44;21;Français;2022-01-28;2025-11-24;377.4;Oui
GoldenDrake;TikTok;Canada;Creation;Educatif;332;522;29;29.26;97.1;3.13;27;Anglais;2019-10-22;2025-04-18;101.76;Oui
AeroGlyphYT11;Twitch;Espagne;Just Chatting;Communautaire;294;1012;102;128.37;81.9;2.09;16;Espagnol;2023-03-12;2025-11-29;383.37;Non
PhantomStorm_TV;TikTok;États-Unis;IRL;Competitif;376;875;186;441.66;61.7;6.97;18;Anglais;2021-08-10;2025-07-11;906.66;Oui
GoldenSpecter_TV6;TikTok;Brésil;Just Chatting;Esport;197;513;31;14.2;44.6;4.62;14;Portugais;2014-03-23;2025-02-14;91.7;Oui
HyperKnightFR;YouTube;Italie;MMO;Chill;236;396;77;56.21;31.5;7.59;8;Italien;2021-12-17;2025-09-15;248.71;Oui
RapidOrbitTV;TikTok;Brésil;IRL;Competitif;96;272;29;48.76;106.7;3.27;19;Portugais;2014-10-16;2025-06-29;121.26;Non
RetroFableFR;YouTube;France;Sport;Competitif;776;1804;223;242.4;103.8;6.22;28;Français;2018-05-12;2025-05-18;799.9;Non
SilverOrbitX93;Twitch;France;Cuisine;Chill;145;306;57;37.14;111.2;7.46;26;Français;2012-08-03;2025-03-20;179.64;Non
AtomicWhisper_Live;YouTube;Canada;Creation;Educatif;757;2408;32;36.49;76.7;6.45;15;Français;2020-10-11;2025-04-09;116.49;Non
NovaOrbitTV47;TikTok;Brésil;Musique;Educatif;561;1771;245;1027.29;102.1;5.47;9;Portugais;2023-08-08;2025-03-23;1639.79;Non
AtomicVortex_Live;TikTok;Italie;Cuisine;Esport;592;1161;117;164.33;93.9;2.76;8;Italien;2015-07-26;2025-06-15;456.83;Oui
VividVortexTV;Twitch;France;Creation;Esport;57;96;21;14.01;32.3;2.07;23;Français;2013-10-07;2025-10-20;66.51;Non
AeroGuardianLive;TikTok;États-Unis;Musique;Competitif;1104;1711;320;442.63;96.1;7.9;25;Anglais;2016-12-21;2025-06-02;1242.63;Oui
EchoRunnerYT;YouTube;France;Just Chatting;Chill;200;514;149;175.63;52.1;6.68;17;Français;2012-07-08;2025-11-23;548.13;Oui
ShadowMatrixFR18;YouTube;Espagne;Musique;Chill;3028;5213;1704;3377.44;113.4;2.74;9;Espagnol;2023-01-31;2025-07-05;7637.44;Oui
BlazingStormLive;YouTube;Belgique;Tech;Esport;605;1380;289;0.0;74.2;2.13;7;Français;2020-06-01;2025-06-10;722.5;Non
AtomicPixel_TV;TikTok;Italie;Creation;Chill;296;922;168;243.79;46.2;2.06;10;Italien;2019-09-09;2025-06-27;663.79;Non
UrbanBlade_Live79;TikTok;Espagne;IRL;Competitif;85;296;33;105.74;84.0;2.03;21;Espagnol;2012-08-30;2025-10-02;188.24;Oui
RetroFox4;Twitch;Suisse;FPS;Humoristique;1590;4032;616;1510.09;98.5;3.3;16;Allemand;2016-12-05;2025-02-12;3050.09;Oui
NovaBeaconYT82;TikTok;Royaume-Uni;Just Chatting;Educatif;269;547;15;8.63;73.3;7.72;16;Anglais;2023-02-13;2025-08-12;46.13;Non
TurboPulse_;YouTube;Brésil;IRL;Communautaire;2251;7528;777;976.39;52.5;3.19;27;Portugais;2018-12-27;2025-03-26;2918.89;Oui
VividQuasar;TikTok;Espagne;Sport;Communautaire;290;988;226;706.47;73.9;7.3;18;Espagnol;2020-08-03;2025-08-08;1271.47;Oui
RapidShard_Live;YouTube;Canada;FPS;Communautaire;4631;12199;1705;3061.54;63.7;5.8;7;Anglais;2021-03-11;2025-05-31;7324.04;Non
BlazingSageFR75;Twitch;États-Unis;Tech;Chill;76;174;52;17.28;40.3;6.85;18;Anglais;2020-05-02;2025-07-10;147.28;Oui
EchoDrakeLive82;TikTok;États-Unis;Tech;Educatif;512;1566;92;83.82;41.0;3.91;5;Anglais;2019-03-19;2025-04-30;313.82;Oui
PrimeHorizonFR36;TikTok;Espagne;Creation;Esport;160;363;44;42.28;84.2;5.16;8;Espagnol;2021-06-16;2025-12-16;152.28;Non
FrozenVortexHQ;YouTube;France;Just Chatting;Educatif;220;469;124;49.0;58.8;3.18;20;Français;2014-10-13;2025-08-20;359.0;Oui
NeoBladeHQ;YouTube;France;Creation;Chill;514;1389;330;325.65;83.2;3.42;5;Français;2018-05-18;2025-03-09;1150.65;Non
RuneBeaconYT19;TikTok;France;IRL;Educatif;183;288;64;171.5;78.0;5.17;15;Français;2021-04-23;2025-06-04;331.5;Non
ShadowDrakeFR6;YouTube;Italie;FPS;Educatif;499;1065;146;289.65;61.1;2.48;15;Italien;2022-03-12;2025-09-10;654.65;Oui
ShadowWhisperHQ;Twitch;France;Musique;Chill;119;379;63;120.24;114.4;2.62;12;Français;2021-10-09;2025-04-26;277.74;Oui
LunarGlyphX;Twitch;France;Just Chatting;Chill;287;481;66;40.48;95.2;6.87;22;Français;2013-01-28;2025-06-05;205.48;Oui
RuneRunnerTV;YouTube;Canada;Musique;Communautaire;726;1471;468;403.74;91.9;6.75;17;Français;2014-09-09;2025-03-06;1573.74;Non
EchoGuardianTV;TikTok;Allemagne;IRL;Communautaire;667;2150;0;0.0;97.8;7.33;18;Allemand;2017-05-24;2025-10-23;0.0;Non
SableGlyphFR;YouTube;Suisse;IRL;Humoristique;389;1097;84;47.33;117.9;3.93;28;Allemand;2013-11-09;2025-06-30;257.33;Oui
SableHarbor_TV;Twitch;Allemagne;FPS;Competitif;193;544;88;115.52;96.2;3.24;7;Allemand;2016-11-05;2025-08-28;335.52;Non
LunarGlyph_Live;TikTok;Royaume-Uni;Sport;Humoristique;34;63;0;0.0;39.4;3.25;23;Anglais;2022-03-08;2025-12-02;0.0;Oui
TurboGuardian;YouTube;Allemagne;Creation;Communautaire;667;2131;0;0.0;39.5;2.78;16;Allemand;2020-12-22;2025-04-07;0.0;Oui
RetroBeacon_TV;TikTok;Belgique;Musique;Educatif;226;464;153;170.59;44.8;3.84;23;Néerlandais;2014-06-21;2025-05-04;553.09;Oui
GoldenMatrix_Live;TikTok;Allemagne;Sport;Humoristique;614;2018;262;0.0;46.8;2.17;26;Allemand;2013-11-19;2025-07-01;655.0;Non
SilentCasterFR1;Twitch;Allemagne;Just Chatting;Humoristique;939;1806;416;835.44;65.7;4.59;15;Allemand;2013-02-06;2025-11-29;1875.44;Non
SilverQuasar_99;Twitch;Italie;Just Chatting;Communautaire;30298;89803;0;0.0;68.0;3.76;17;Italien;2023-01-26;2025-09-23;0.0;Non
BlazingFableYT;Twitch;Belgique;FPS;Chill;294;505;134;194.9;34.5;3.49;8;Néerlandais;2017-12-20;2025-05-03;529.9;Oui
NeoSpecterTV30;TikTok;Brésil;Cuisine;Educatif;252;646;72;131.72;54.8;7.3;27;Portugais;2016-12-06;2025-12-21;311.72;Non
GoldenZephyrFR;YouTube;Italie;Just Chatting;Esport;76;189;41;44.44;45.4;3.22;25;Italien;2014-02-11;2025-04-05;146.94;Non
IronDrakeYT;YouTube;Belgique;Musique;Competitif;116;345;35;96.5;106.7;6.13;10;Néerlandais;2022-03-18;2025-03-14;184.0;Oui
SableHorizon_;Twitch;Canada;FPS;Communautaire;223;631;105;80.75;68.5;2.12;13;Français;2022-08-17;2025-10-26;343.25;Oui
UrbanMatrix_TV22;TikTok;Espagne;Tech;Communautaire;928;2298;498;1667.61;52.3;2.66;5;Espagnol;2015-10-02;2025-03-17;2912.61;Oui
FrozenQuasarHQ85;TikTok;États-Unis;MMO;Humoristique;332;564;177;282.86;102.4;4.01;20;Anglais;2022-11-29;2025-05-10;725.36;Non
VividFableTV;TikTok;Italie;Horreur;Chill;1678;4056;429;963.11;104.5;3.81;15;Italien;2023-08-25;2025-11-24;2035.61;Oui
SableRift_;YouTube;Allemagne;FPS;Competitif;325;583;125;198.97;66.9;3.32;9;Allemand;2021-08-29;2025-07-04;511.47;Oui
VividWhisperYT21;Twitch;Espagne;MMO;Educatif;532;1590;200;342.94;47.4;7.73;25;Espagnol;2015-12-04;2025-05-16;842.94;Non
VividRiftHQ;YouTube;Suisse;FPS;Communautaire;2289;7498;1366;3236.27;65.2;4.5;13;Français;2019-09-13;2025-11-10;6651.27;Oui
DarkGunnerFR;YouTube;Belgique;FPS;Educatif;244;577;54;132.59;71.0;7.81;16;Néerlandais;2015-04-20;2025-08-27;267.59;Oui
NeoWhisperHQ35;YouTube;Allemagne;Just Chatting;Chill;1057;2691;734;657.68;56.1;5.35;10;Allemand;2012-05-07;2025-08-21;2492.68;Oui
DarkShardLive;YouTube;France;Cuisine;Humoristique;313;605;22;24.37;104.3;2.74;20;Français;2012-01-06;2025-01-26;79.37;Non
